"ProcessTime","Name","Item","Type","instanceName","CookedValue","PSComputerName","RunspaceId","PSShowComputerName"
"12/15/2020 10:21:39","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors unhandled during execution/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:39","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors total/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:40","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","requests/sec","_lm_w3svc_2_root","0.99995870170562","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:40","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","requests in application queue","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:40","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors unhandled during execution/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:40","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors total/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:41","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","requests/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:41","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","requests in application queue","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:41","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors unhandled during execution/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:41","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors total/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:42","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","requests/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:42","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","requests in application queue","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:42","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors unhandled during execution/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:42","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors total/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:43","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","requests/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:43","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","requests in application queue","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:43","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors unhandled during execution/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:43","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors total/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:44","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","requests/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:44","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","requests in application queue","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:44","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors unhandled during execution/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:44","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors total/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:45","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","requests/sec","_lm_w3svc_2_root","1.99980301940259","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:45","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","requests in application queue","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:45","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors unhandled during execution/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:45","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors total/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:46","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","requests/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:46","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","requests in application queue","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:46","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors unhandled during execution/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
"12/15/2020 10:21:46","win-72mm9ce0bil","asp.net applications(_lm_w3svc_2_root)","errors total/sec","_lm_w3svc_2_root","0","140.125.243.87","a5969356-d878-4341-9136-827756e6dc3c","True"
