,AQI,CO,CO_8hr,County,Latitude,Longitude,NO,NO2,NOx,O3,O3_8hr,PM10,PM10_AVG,PM2.5,PM2.5_AVG,Pollutant,PublishTime,SO2,SO2_AVG,SiteId,SiteName,Status,WindDirec,WindSpeed
64,115,0.47,0.4,桃園市,24.952786,121.203986,5.7,21.8,27.5,29.6,28,104,84,46,41,細懸浮微粒,2021/03/17 17:00:00,1.9,3,20,平鎮,對敏感族群不健康,23,2.1
65,105,0.25,0.3,桃園市,25.035503,121.082761,1.3,15.3,16.6,32.7,36,143,106,47,37,細懸浮微粒,2021/03/17 17:00:00,1.1,2,19,觀音,對敏感族群不健康,47,3.8
66,105,0.26,0.3,桃園市,25.060344,121.201811,2.8,16.3,19.2,38.5,38,131,94,46,37,細懸浮微粒,2021/03/17 17:00:00,0.5,1,18,大園,對敏感族群不健康,24,5
67,105,0.42,0.4,桃園市,24.98677778,121.30872222,4.2,23,27.3,29.2,34,78,62,40,37,細懸浮微粒,2021/03/17 17:00:00,2.1,8,17,桃園,對敏感族群不健康,299,1.6
68,94,0.99,0.8,臺北市,25.0632,121.513311,22.7,34,56.7,-,-,67,63,35,33,細懸浮微粒,2021/03/17 17:00:00,1.1,2,16,大同,普通,-,-
69,84,0.43,0.5,臺北市,25.05,121.578611,17.6,37.1,54.7,14.4,33,40,56,18,29,細懸浮微粒,2021/03/17 17:00:00,1.2,2,15,松山,普通,50,2.2
70,84,0.43,0.6,臺北市,25.020608,121.529556,3.1,22.1,25.2,24.5,38,34,48,19,29,細懸浮微粒,2021/03/17 17:00:00,1.5,1,14,古亭,普通,46,1.9
71,93,0.59,0.6,臺北市,25.046503,121.507972,5,32.2,37.2,20.8,34,60,54,30,33,細懸浮微粒,2021/03/17 17:00:00,1,2,13,萬華,普通,66,1.4
72,93,0.61,0.7,臺北市,25.062361,121.526528,8.6,31.4,40,16.5,28,47,64,29,33,細懸浮微粒,2021/03/17 17:00:00,1.6,2,12,中山,普通,97,2
73,104,0.38,0.3,臺北市,25.105417,121.515389,2.8,20.3,23.2,34.1,41,88,80,42,37,細懸浮微粒,2021/03/17 17:00:00,2.1,3,11,士林,對敏感族群不健康,290,2
74,87,0.36,0.3,新北市,25.1645,121.449239,3.1,10.4,13.5,34.3,35,50,70,24,30,細懸浮微粒,2021/03/17 17:00:00,1.6,2,10,淡水,普通,20,1
75,79,0.33,0.3,新北市,25.077197,121.376869,4.8,17.2,22,32.1,35,76,49,32,27,細懸浮微粒,2021/03/17 17:00:00,0.5,3,9,林口,普通,39,2.2
76,94,0.5,0.4,新北市,25.06895,121.481028,1.7,16.4,18.1,32,40,72,55,37,33,細懸浮微粒,2021/03/17 17:00:00,1.7,2,8,菜寮,普通,301,1.5
77,89,0.47,0.4,新北市,25.037972,121.4325,3.1,24.4,27.4,30.5,38,70,53,38,31,細懸浮微粒,2021/03/17 17:00:00,2.8,3,7,新莊,普通,3,2.9
78,99,0.68,0.6,新北市,25.012972,121.458667,5.1,33.7,38.7,23,35,70,57,39,35,細懸浮微粒,2021/03/17 17:00:00,2.3,3,6,板橋,普通,7,2.7
79,96,0.65,0.6,新北市,24.982528,121.451861,4.1,29,33,33.3,43,69,58,33,34,細懸浮微粒,2021/03/17 17:00:00,1.8,3,5,土城,普通,358,1.5
80,82,0.46,0.6,新北市,24.977222,121.537778,2.7,15.8,18.5,34.9,40,27,46,19,28,細懸浮微粒,2021/03/17 17:00:00,2.1,2,4,新店,普通,17,1.2
81,63,0.32,0.3,新北市,25.179667,121.689881,2.2,10.4,12.6,38.5,43,30,41,17,21,細懸浮微粒,2021/03/17 17:00:00,2.6,3,3,萬里,普通,351,1.7
82,72,0.36,0.4,新北市,25.067131,121.6423,3.7,25.6,29.2,23.1,26,35,40,20,24,細懸浮微粒,2021/03/17 17:00:00,2.6,4,2,汐止,普通,23,2.5
83,78,0.33,0.3,基隆市,25.129167,121.760056,2.4,21.5,23.9,26.6,26,30,49,25,27,細懸浮微粒,2021/03/17 17:00:00,1.5,2,1,基隆,普通,26,0.5
